Youtuber,subscribers,video views,category,Title,uploads,Country,channel_type,country_rank,video_views_for_the_last_30_days,highest_monthly_earnings,subscribers_for_last_30_days,Gross tertiary education enrollment (%),Population,Unemployment rate,subscribers_for_last_30_days_missing,country_rank_missing,channel_age,views_per_subscriber,views_per_upload,earnings_spread,urban_ratio,subscriber_growth_rate
T-Series,5.561669089749748,1.5772519132603569,Music,T-Series,1.3369565420441927,India,Music,1.0,1.1007012329080916,1.1644346606806517,1.1494349155734247,28.1,1.428108284192824,5.36,0,0,1.4741566583416468,1.025032080946418,0.22300604491563886,1.070926059433969,-1.9332780935697111,-0.30672707584411846
YouTube Movies,4.748494461298955,-9.775571997308072,Film & Animation,youtubemovies,-2.1337846467280697,United States,Games,7670.0,-3.3362746119100026,-2.229457874335939,0.2009739119280225,88.2,0.27904907064799506,14.7,1,0,1.4741566583416468,-6.167125373049025,-3.737549627379587,-2.259065597957033,0.5373702730784362,-0.6677647169884331
MrBeast,4.695514032838416,0.6725659540472977,Entertainment,MrBeast,0.09462131901849882,United States,Entertainment,1.0,0.9800628691891614,1.0558344988244401,1.7204663007143055,88.2,0.27904907064799506,14.7,0,0,0.14051288651263774,-0.7528035206628582,0.5193521196904559,0.9756580844784384,0.5373702730784362,1.7147224668730112
Cocomelon - Nursery Rhymes,4.641241272203958,1.4342253035665817,Education,Cocomelon - Nursery Rhymes,0.19437985457421894,United States,Education,2.0,1.0693848063405855,1.1367200860118922,0.8639193517254113,88.2,0.27904907064799506,14.7,0,0,1.4741566583416468,1.1134976498467284,0.8824722481590922,1.046229360886549,0.5373702730784362,-0.4093254122516836
SET India,4.599649914140238,1.389663232346875,Shows,SET India,1.9992538163605722,India,Entertainment,2.0,1.0507844081790199,1.1199273607277649,0.8639193517254113,28.1,1.428108284192824,5.36,0,0,1.4741566583416468,1.0252639499126035,-0.31104231217274286,1.0312866740971884,-1.9332780935697111,-0.40331633872428085
Music,3.954866720492187,-9.775571997308072,Entertainment,Music,-2.3948665529838955,Unknown,Music,-1.0,0.26768662202931587,-2.2398305342958547,0.2009739119280225,68.0,0.27904907064799506,9.02,1,1,-0.08176107545886376,-6.167125373049025,-3.737549627379587,-2.338923974921691,0.5373702730784362,-0.6416262298966863
ýýý Kids Diana Show,3.8199725195108156,1.1891268537029154,People & Blogs,ýýý Kids Diana Show,0.24700587157312623,United States,Entertainment,3.0,0.8371646043204894,0.9236652609153718,0.2009739119280225,88.2,0.27904907064799506,14.7,1,0,-0.5263089994018667,0.9080462608401428,0.7107226961501678,0.8623812574391017,0.5373702730784362,-0.6361823678162998
PewDiePie,3.8000165752991744,0.6829860402314807,Gaming,PewDiePie,0.7912866667364843,Japan,Entertainment,1.0,0.15264116612582812,0.30327920890866655,0.2009739119280225,63.2,-0.49090786718951257,2.29,1,0,0.5850608104556407,-0.306310217692646,0.07399795393819167,0.32315595301485694,1.014482286745622,-0.6353486735792386
Like Nastya,3.697460503386804,1.17604576568607,People & Blogs,Like Nastya Vlog,-0.058609778284603245,Russia,People,5.0,0.20466787490884944,0.35063724873593893,-0.08453979833044896,81.9,-0.3826849838307849,4.59,0,0,-0.7485829613733682,0.9342362215994322,0.9014659759633875,0.3581105336436283,0.13207419293207687,-0.679852051824957
Vlad and Niki,3.5431965233562663,1.1070344840394788,Entertainment,Vlad and Niki,-0.0014195480258994999,United States,Entertainment,5.0,0.7830686529833149,0.8743848694956152,0.6535043273957786,88.2,0.27904907064799506,14.7,0,0,-1.1931308853163711,0.8400476976649359,0.8256204240511907,0.8202655783224501,0.5373702730784362,-0.41480041135162926
Zee Music Company,3.4931416487884968,0.9819356488319071,Music,Zee Music Company,1.0152651980257912,India,Music,3.0,0.8590966273614363,0.9445933533655712,0.9031787387131034,28.1,1.428108284192824,5.36,0,0,-0.30403503743036525,0.5609680070457316,0.09689829098074004,0.8800600213915506,-1.9332780935697111,-0.14158170027778463
WWE,3.4769760249775366,1.1084288242408342,Sports,WWE,1.807952423073174,United States,Sports,6.0,0.8316472597021749,0.9236652609153718,0.6535043273957786,88.2,0.27904907064799506,14.7,0,0,1.2518826963701453,0.8746903644245769,-0.3451659752969304,0.858403673995419,0.5373702730784362,-0.40534432328212916
Gaming,3.420642057525518,-9.775571997308072,Entertainment,Gaming,-2.3948665529838955,Unknown,Games,-1.0,0.26768662202931587,-2.2398305342958547,0.2009739119280225,68.0,0.27904907064799506,9.02,1,1,-0.08176107545886376,-6.167125373049025,-3.737549627379587,-2.338923974921691,0.5373702730784362,-0.6179937725262238
